Artist,Avg Tickets,Gross Sales,Territory,Agency,Location
John Jorgenson Quintet,286,"$11,232",North America,Dynamic Artists Management LLC,
John Legend,"4,341","$479,116","Asia, Australia",WME,
John Legend,"4,341","$479,116",Europe,WME,
John Legend,"4,341","$479,116",North America,WME,
John Leguizamo,"1,600","$78,620",Worldwide,UTA - Comedy,
John Lodge,350,"$18,424",Worldwide ex. North America,Creative Artists Agency (Music),Los Angeles
John Lodge,350,"$18,424",North America,APA,
John Mark McMillan,222,"$4,728",North America,WME,
John Martin,,,Worldwide,Creative Artists Agency (Music),Los Angeles
John Maus,586,"$11,645",Worldwide ex. UK/Europe,Ground Control Touring,
John Mayall,550,"$22,532",North America,Mint Talent Group,
John Mayer,"14,073","$1,470,536","Australia, Asia",WME,
John Mayer,"14,073","$1,470,536",Worldwide,WME,
John McEuen,189,"$6,112",Worldwide,New Frontier Touring,
John McEuen,189,"$6,112",Worldwide,New Frontier Touring,
John Medeski,160,"$4,942","Canada, Mexico, United States",Arrival Artists,
John Mellencamp,"3,290","$234,719",Worldwide,Creative Artists Agency (Music),Los Angeles
John Michael Montgomery,"1,202","$39,550",Worldwide,United Talent Agency - Beverly Hills,
John Michael Montgomery,"1,202","$39,550",Worldwide,UTA,
John Mooney & Bluesiana,,,Worldwide,Intrepid Artists Inc.,
John Moreland,297,"$10,477",North America,High Road Touring,
John Mulaney,"3,397","$163,528",North America,WME,
John Murry,,,Europe,WME,
John Nemeth & The Blue Dreamers,58,"$1,292",Worldwide,Intrepid Artists Inc.,
John Newman,631,"$14,672",North America,Paradigm - NYC,
John O'Hurley,111,"$2,455",Worldwide,APA,
John Oates,297,"$11,868",North America,Paradigm - Beverly Hills,
John Oates,297,"$11,868",North America,Paradigm - Nashville,
John Oliver,,,North America,Gersh,
John Owen-Jones,,,Worldwide,UTA,
John P. Kee,,,non-exclusive,Universal Attractions Agency,
John Paesano,,,Worldwide,WME,
John Paul White,165,"$3,464",United States,High Road Touring,
John Pizzarelli,688,"$29,247",Worldwide,The Kurland Agency,
John R. Miller,,,North America,Paradigm - Nashville,
John Reilly,,,North America,WME,
John Rich,,,North America,WME,
John Robert,,,North America,WME,
John Roderick,,,North America,High Road Touring,
John Rzeznik,,,North America,WME,
John Schneider,233,"$9,839",North America,The Empire Agency,
John Scofield,249,"$11,277","Asia, North America, Australia, South America",International Music Network,
John Sebastian,268,"$12,594",Worldwide,The Kurland Agency,
John Slattery,,,Worldwide,Gersh,
John Splithoff,372,"$6,215",,Creative Artists Agency (Music),Nashville
John Splithoff,372,"$6,215",Worldwide,Creative Artists Agency (Music),Los Angeles
John Summit,,,North America,Paradigm - NYC,
John Summit,,,North America,Paradigm - Beverly Hills,
John Talabot,,,North America,Liaison Artists,
John Tesh,908,"$36,073",North America,ICM Partners,
John Times Two,,,Worldwide,United Talent Agency - Beverly Hills,
John Times Two,,,Worldwide,UTA,
John Vanderslice,118,"$1,626",North America,Concerted Efforts,
John Vincent III,,,North America,Madison House,
John W. Dean,,,Worldwide,Gersh,
John Waite,347,"$15,152",North America,Brad Simon Organization,
John Waters,623,"$28,112",North America,United Talent Agency - Beverly Hills,
John Waters,623,"$28,112",North America,UTA,
Johnathan Rice,,,North America,Ground Control Touring,
Johnny A.,113,"$3,202",Worldwide,Skyline Artists Agency,
Johnny Balik,,,Worldwide,WME,
Johnny Flynn & The Sussex Wit,,,United States,Creative Artists Agency (Music),Los Angeles
Johnny Flynn & The Sussex Wit,,,Worldwide ex. North America,WME,
Johnny Gill,"1,278","$99,449",non-exclusive,Pyramid Entertainment Group,
Johnny Gill,"1,278","$99,449",non-exclusive,Universal Attractions Agency,
Johnny Gill,"1,278","$99,449",non-exclusive,ICM Partners,
Johnny Gill,"1,278","$99,449",non-exclusive,Red Entertainment Agency,
Johnny Goth,,,Worldwide ex. UK/Europe,APA,
Johnny Klimek,,,North America,WME,
Johnny Lloyd,,,North America,Artist Group International,
Johnny Marr,910,"$30,374","Australia, Asia",WME,
Johnny Marr,910,"$30,374",North America,WME,
Johnny Marr,910,"$30,374",Worldwide,WME,
Johnny Mathis,"1,679","$146,626",North America,APA,
Johnny McGuire,,,Worldwide,WME,
Johnny Orlando,408,"$9,721",North America,Creative Artists Agency (Music),Nashville
Johnny Orlando,408,"$9,721",North America,Creative Artists Agency (Music),Los Angeles
Johnny Stimson,,,Worldwide ex. UK/Europe,Paradigm - Beverly Hills,
Johnny Van Zant,,,North America,WME,
Johnnyswim,"1,137","$39,406",North America,Paradigm - NYC,
Johnossi,556,"$17,578",North America,Paradigm - NYC,
Joint Operation,,,North America,Nimbleslick Entertainment,
Joint Operation,,,North America,Nimbleslick Entertainment,
Joji,,,Worldwide ex. North America,WME,
JoJo,498,"$14,558",Worldwide,Paradigm - NYC,
JoJo Siwa,"6,412","$350,049",North America,Paradigm - NYC,
Joker - Live in Concert,,,Worldwide,ICM Partners,
Jokull (JJ) Juliusson,,,Worldwide,WME,
Jolie Holland,58,$995,North America,Concerted Efforts,
Jon B,543,"$22,429",non-exclusive,Universal Attractions Agency,
Jon Batiste And Stay Human,990,"$63,271",Worldwide,Creative Artists Agency (Music),Los Angeles
Jon Bellion,"3,135","$115,969",Worldwide,ICM Partners,
Jon Bon Jovi,741,"$231,310",Worldwide,Creative Artists Agency (Music),Los Angeles
Jon Casey,,,North America,Madison House,
Jon Charnis,,,"Australia, South America, North America",Liaison Artists,
Jon Cleary,186,"$4,037",North America,Mint Talent Group,
Jon Dore,,,Worldwide,Gersh,
Jon Dorenbos,934,"$52,435",Worldwide,ICM Partners,
Jon Dorenbos,,,Worldwide,ICM Partners,
Jon Foreman,648,"$16,355",North America,WME,
Jon Fratelli,,,North America,WME,
Jon Glaser,,,Worldwide,ICM Partners,
Jon Hopkins,796,"$17,670",North America,Paradigm - NYC,
Jon Hopkins,,,North America,Paradigm - NYC,
Jon Lajoie,,,Worldwide ex. North America,UTA,
Jon Langston,771,"$10,259",North America,WME,
Jon Lovett,,,Worldwide,WME,
Jon Lovitz,,,Worldwide,ICM Partners,
Jon Lovitz,,,Worldwide,ICM Partners,
Jon McLaughlin,269,"$7,186",Worldwide ex. North America,WME,
Jon McLaughlin,269,"$7,186",North America,APA,
Jon Muq,,,North America,Paradigm - Beverly Hills,
Jon Muq,,,North America,ICM Partners,
Jon Pardi,"3,185","$143,658",,Creative Artists Agency (Music),Nashville
Jon Pardi,"3,185","$143,658",Worldwide,Creative Artists Agency (Music),Los Angeles
Jon Reep,,,North America,WME,
Jon Rineman,,,Worldwide,Creative Artists Agency (Comedy),Los Angeles
Jon Rineman,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Jon Rudnitsky,,,Worldwide,ICM Partners,
Jon Secada,541,"$41,458",non-exclusive,Universal Attractions Agency,
Jon Shain,26,$388,Worldwide,Ketch Agency,
Jon Shain,,,Worldwide,Ketch Agency,
Jon Stewart,"8,334","$773,851",Worldwide,ICM Partners,
Jon Stickley Trio,111,"$1,943","Canada, United States",Prater Day,
Jon Taffer,,,North America,WME,
Jon Wayne and the Pain,117,"$1,660",North America,Nimbleslick Entertainment,
Jonah Mutono,,,North America,Paradigm - Beverly Hills,
Jonah Nilsson,,,North America,Artist Group International,
Jonah Ray,80,"$1,574",Worldwide,ICM Partners,
Jonah Ray,80,"$1,574",,ICM Partners,
Jonah Tolchin,,,North America,Concerted Efforts,
Jonas Blue,"1,070","$21,195",,Creative Artists Agency (Music),Nashville
Jonas Blue,"1,070","$21,195",Worldwide ex. North America,Creative Artists Agency (Music),Los Angeles
Jonas Brothers,"14,805","$1,494,349",Worldwide,United Talent Agency - Beverly Hills,
Jonas Brothers,"14,805","$1,494,349",Worldwide,UTA,
Jonatha Brooke,202,"$6,226",North America,Fleming Artists,
Jonathan Adler,,,North America,Gersh,
Jonathan Adler,,,Worldwide,Gersh,
Jonathan Braylock,,,Worldwide,APA,
JONATHAN BREE,,,,Space Agency Booking,
Jonathan Butler,666,"$38,731",North America,APA,
Jonathan Byrd And The Pickup Cowboys,,,Worldwide,Dynamic Artists Management LLC,
Jonathan Davis,516,"$15,311",North America,Sound Talent Group,
Jonathan Edwards,194,"$6,787",Worldwide,New Frontier Touring,
Jonathan Edwards,194,"$6,787",Worldwide,New Frontier Touring,
Jonathan Kite,,,Worldwide,Creative Artists Agency (Comedy),Los Angeles
Jonathan Kite,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Jonathan McReynolds,"1,002","$20,898",North America,WME,
Jonathan Rado,,,"Australia, North America, Asia, South America",High Road Touring,
Jonathan Richman,308,"$7,128",North America,High Road Touring,
Jonathan Toubin,,,North America,Ground Control Touring,
Jonathan Van Ness,,,North America,UTA - Comedy,
Jonathan Wilson,272,"$6,335","Asia, South America, North America, Australia",High Road Touring,
"Jonathon Cain ""A Christmas Journey""",,,North America,TKO,
Jonathon Long,,,Worldwide,Ketch Agency,
Jones,,,Worldwide ex. North America,UTA,
JonesWorld,,,Worldwide ex. North America,UTA,
Jonezen,,,United States,Dynamic Talent International,
Joni Mitchell,,,United States,Paradigm - NYC,
Jonny Fritz,258,"$3,603",North America,WME,
Jonny Lang,"1,046","$50,359",North America,ICM Partners,
Jonny Two Bags,,,Worldwide ex. UK/Europe,APA,
Jónsi,"1,049","$75,859",North America,Paradigm - NYC,
Jontavious Willis,67,"$1,283",Worldwide,The Kurland Agency,
Jonwayne,,,Worldwide ex. North America,Creative Artists Agency (Music),Los Angeles
Jools Holland & His Rhythm & Blues Orchestra,"3,839","$215,247",North America,APA,
Jordan Bratton,,,North America,WME,
Jordan Carlos,,,Worldwide,Gersh,
Jordan Davis,"1,417","$20,862",North America,WME,
Jordan Fisher,,,Worldwide,ICM Partners,
Jordan Gray,,,Worldwide,WME,
Jordan Hawkins,,,Worldwide,ICM Partners,
Jordan Klepper,,,Worldwide,UTA - Comedy,
Jordan Lee Dooley,,,North America,WME,
Jordan Mackampa,,,North America,Paradigm - Beverly Hills,
Jordan Peele,,,North America,Creative Artists Agency (Comedy),Los Angeles
Jordan Peele,,,North America,Creative Artists Agency (Music),Los Angeles
Jordan Rakei,393,"$8,249",Worldwide,Creative Artists Agency (Music),Los Angeles
Jordan Rudess,262,"$9,560",Worldwide,APA,
Jordan Smith,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Jordana,,,North America,Paradigm - NYC,
Jordann,,,Worldwide,United Talent Agency - Beverly Hills,
Jordann,,,Worldwide,UTA,
Jordin Sparks,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Jordy,218,"$2,936",Worldwide,APA,
Jordyn Jones,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Jorge Ben Jor,,,North America,United Talent Agency - Beverly Hills,
Jorge Ben Jor,,,North America,UTA,
Jorge Drexler,"3,315","$97,713",North America,United Talent Agency - Beverly Hills,
Jorge Drexler,"3,315","$97,713",North America,UTA,
Jorge Glem,74,"$2,220",North America,Epstein & Company,
Jorge Glem,,,North America,Epstein & Company,
Joris Voorn,387,"$6,862","Asia, Australia",WME,
Joris Voorn,387,"$6,862",Europe,WME,
Joris Voorn,387,"$6,862","North America, South America",WME,
Jorja Smith,"1,693","$62,612",Worldwide,Creative Artists Agency (Music),Los Angeles
Jorma Kaukonen,332,"$15,042",Worldwide,APA,
Jose Feliciano,"2,865","$110,339",Worldwide ex. UK/Europe,Red Entertainment Agency,
José González ,,,,TBA Agency,
Jose James,475,"$12,368",Europe,UTA,
Jose James,475,"$12,368","Africa, South America, Middle East, New Zealand, Mexico, Australia, Canada, Asia, United States",Arrival Artists,
Jose Padilla,,,Worldwide,Universal Attractions Agency,
Joseph,382,"$9,913",United States,High Road Touring,
Joseph Arthur,135,"$3,073",North America,APA,
Joseph Capriati,"2,617","$93,777","Australia, Asia",WME,
Joseph Capriati,"2,617","$93,777","North America, South America",WME,
Joseph Gordon-Levitt,,,"Asia, Australia",WME,
Joseph Gordon-Levitt,,,North America,WME,
Joseph J Jones,,,Worldwide ex. North America,UTA,
Joseph Morgan,,,Worldwide,WME,
Josey Rebelle,,,"North America, South America",Liaison Artists,
Josh Abbott Band,"1,553","$34,974",Worldwide,WME,
Josh Adam Meyers,,,North America,WME,
Josh Blue,253,"$6,298",Worldwide,APA,
Josh Cashman,98,$491,North America,Paradigm - NYC,
Josh Doyle,,,Worldwide ex. North America,UTA,
Josh Fadem,,,Worldwide,Gersh,
Josh Gondelman,,,North America,ICM Partners,
Josh Gondelman,,,North America,ICM Partners,
Josh Gray,,,Worldwide,UTA,
Josh Grisetti,,,Worldwide,Gersh,
Josh Groban,"5,778","$554,306","Asia, Australia",WME,
Josh Groban,"5,778","$554,306",Europe,WME,
Josh Groban,"5,778","$554,306",United States,WME,
Josh Jenkins,,,North America,Paradigm - Nashville,
Josh Johnson,,,Worldwide,UTA - Comedy,
Josh Kelley,81,"$1,613",North America,Mint Talent Group,
Josh Melton,,,Worldwide,WME,
Josh Phillips,,,North America,WME,
Josh Rabinowitz,,,Worldwide,WME,
Josh Radnor,,,Worldwide,Gersh,
Josh Ritter,750,"$28,324",United States,Concerted Efforts,
Josh Rouse,134,"$3,321",North America,Mongrel Music,
Josh Thomas,,,Worldwide,Gersh,
Josh Thompson,,,Europe,WME,
Josh Turner,"1,860","$70,701",Europe,WME,
Josh Turner,"1,860","$70,701",North America,WME,
Josh Wink,"6,014","$328,340","South America, North America",Paradigm - NYC,
Josh Wolf,,,Worldwide,WME,
Josh Xantus,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Joshua David,,,Worldwide,Gersh,
Joshua Davis,106,"$2,769",Worldwide,Fleming Artists,
Joshua Hedley,168,"$3,182",North America,High Road Touring,
Joshua Henry,,,North America,United Talent Agency - Beverly Hills,
Joshua Henry,,,North America,UTA,
Joshua James,,,Worldwide ex. UK/Europe,Ground Control Touring,
Joshua Micah,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Joshua Radin,449,"$17,562",North America,Paradigm - NYC,
Joshua Radin,449,"$17,562",North America,Paradigm - Monterey,
Joshua Redman,893,"$52,109","Asia, Australia, South America, North America",International Music Network,
Josiah & The Bonnevilles,66,$962,North America,Artist Group International,
Josiah Johnson,57,$687,"United States, Canada, Mexico, New Zealand, Australia",Arrival Artists,
Josiah Leming,,,North America,Artist Group International,
JOSIN,,,,Outer/Most,
Joslyn & The Sweet Compression,,,North America,Midwood Entertainment,
Joss Stone,"2,158","$199,264",Worldwide,Paradigm - Beverly Hills,
Joss Stone,"2,158","$199,264",Worldwide,ICM Partners,
Jourdain Fisher,,,Worldwide,Gersh,
Journey,"17,488","$1,760,144",Worldwide,Creative Artists Agency (Music),Los Angeles
Journeyman A Trib. To Eric Clapton,423,"$11,211",North America,Brad Simon Organization,
Jovanotti,"6,347","$479,603",North America,Paradigm - Beverly Hills,
Jovanotti,"6,347","$479,603",Latin America,United Talent Agency - Beverly Hills,
Jovanotti,"6,347","$479,603",Latin America,UTA,
Joy Again,103,"$1,298",Worldwide ex. UK/Europe,Ground Control Touring,
Joy Crookes,,,North America,ICM Partners,
Joy Oladokun,,,North America,Paradigm - Nashville,
Joy Oladokun,,,North America,Paradigm - Nashville,
Joy Orbison,,,"South America, North America",Liaison Artists,
Joy Williams,287,"$8,162",North America,High Road Touring,
Joyce Manor,533,"$11,652",North America,Ground Control Touring,
Joyce Moreno,,,North America,M M Music Agency,
Joyero,,,North America,Paradigm - Beverly Hills,
Joyner Lucas,844,"$19,578",Worldwide,WME,
Joyous Wolf,,,Worldwide ex. North America,UTA,
Joyous Wolf,,,North America,TKO,
Joyryde,"1,569","$46,949",Worldwide ex. UK/Europe,United Talent Agency - Beverly Hills,
Joyryde,"1,569","$46,949",Worldwide ex. UK/Europe,UTA,
Joywave,675,"$13,202",North America,Paradigm - NYC,
JP Cooper,597,"$13,578",Worldwide ex. North America,Creative Artists Agency (Music),Los Angeles
JP Saxe,284,"$3,855",North America,Paradigm - NYC,
JP Sears,,,Worldwide,Creative Artists Agency (Comedy),Los Angeles
JP Sears,,,Worldwide,Creative Artists Agency (Music),Los Angeles
JpegMafia,603,"$12,845","Asia, Asia",WME,
JpegMafia,603,"$12,845",Europe,WME,
JpegMafia,603,"$12,845",North America,Paradigm - NYC,
JpegMafia,603,"$12,845",North America,Paradigm - Berkley,
JPHELPZ,,,,Corson Agency,
JR De Guzman,,,Worldwide,Gersh,
Jr. Jr.,378,"$7,620",North America,Paradigm - Nashville,
Jstjr,,,North America,Paradigm - Beverly Hills,
JT Taylor,,,non-exclusive,Red Entertainment Agency,
JTC,,,North America,Surefire Agency,
Juan Croucier,,,North America,TKO,
Juana Molina,380,"$7,916",North America,High Road Touring,
Juanes,"3,445","$199,736","Australia, Asia",WME,
Juanes,"3,445","$199,736",Europe,WME,
Juanes,"3,445","$199,736",Worldwide,WME,
Juanita Stein,52,$552,North America,Nine Mile Touring,
Judah & The Lion,"1,206","$34,211",,Creative Artists Agency (Music),Nashville
Judah & The Lion,"1,206","$34,211",Worldwide,Creative Artists Agency (Music),Los Angeles
Judas Priest,"4,493","$259,846",North America,APA,
Judd Apatow,719,"$31,995",Worldwide,UTA - Comedy,
Judith Light,,,Worldwide,Gersh,
Judy Collins,943,"$57,953",North America,APA,
Judy Collins,977,"$60,451","Canada, Australia",Fleming Artists,
Juelz,,,Worldwide,APA,
Juice,197,"$3,369",Worldwide,United Talent Agency - Beverly Hills,
Juice,197,"$3,369",Worldwide,UTA,
Juice WRLD,"3,093","$132,684",Worldwide,WME,
Juicy J,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Juke Ross,,,Europe,WME,
Juke Ross,,,North America,United Talent Agency - Beverly Hills,
Juke Ross,,,North America,UTA,
Jukebox The Ghost,628,"$14,723","Canada, United States, South America, Mexico",Arrival Artists,
Julia Brennan,,,North America,WME,
Julia Holter ,,,,TBA Agency,
Julia Jacklin ,,,,TBA Agency,
Julia Michaels,"1,079","$30,323",Worldwide,Creative Artists Agency (Music),Los Angeles
Julia Shapiro,,,North America,Ground Control Touring,
Julia Stone,,,Australia,WME,
Julia Stone,,,North America,WME,
Julian Lage & Chris Eldridge,,,North America,Paradigm - NYC,
Julian Lage & Chris Eldridge,,,North America,Paradigm - Monterey,
Julian Lamadrid,,,Worldwide,United Talent Agency - Beverly Hills,
Julian Lamadrid,,,Worldwide,UTA,
Julian Marley,177,"$4,703",Worldwide ex. UK/Europe,APA,
Julian McCullough,,,Worldwide,Creative Artists Agency (Comedy),Los Angeles
Julian McCullough,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Julian Taylor Band,,,Canada,APA,
Juliana Hatfield,216,"$4,808",North America,Concerted Efforts,
Julianna Barwick,,,North America,United Talent Agency - Beverly Hills,
Julianna Barwick,,,North America,UTA,
Julie Byrne,,,North America,Ground Control Touring,
Julien Baker,"1,143","$28,654",North America,Creative Artists Agency (Music),Los Angeles
Julien Chang,73,$904,North America,Paradigm - NYC,
Julien Chang,73,$904,North America,Paradigm - Beverly Hills,
Julieta Venegas,"1,419","$37,694",North America,Sound Talent Group,
Juliette And The Licks,,,Europe,UTA,
Juliette Lewis,,,North America,United Talent Agency - Beverly Hills,
Juliette Lewis,,,North America,UTA,
Julio Iglesias Jr.,,,North America,United Talent Agency - Beverly Hills,
Julio Iglesias Jr.,,,North America,UTA,
Julio Torres,457,"$8,647",Worldwide,UTA - Comedy,
JUMEX,181,"$2,562",Worldwide,WME,
June Diane Raphael,,,Worldwide,WME,
June of 44,,,North America,Leafy Green Booking,
Jungle ,,,,TBA Agency,
Junglepussy,578,"$8,932",North America,ICM Partners,
Junior Brown,329,"$8,796",North America,WME,
Junior Mesa,,,North America,WME,
Junius Meyvant,,,North America,WME,
Junius Meyvant,,,Worldwide ex. North America,UTA,
Junkhouse,,,Canada,APA,
Jupiter & Okwess,120,"$1,909",North America,Partisan Arts,
Jurassic 5,,,Worldwide,United Talent Agency - Beverly Hills,
Jurassic 5,,,Worldwide,UTA,
Jus Reign,,,Canada,APA,
Jussie Smollett,,,North America,United Talent Agency - Beverly Hills,
Jussie Smollett,,,North America,UTA,
Just A Gent,,,Worldwide,United Talent Agency - Beverly Hills,
Just A Gent,,,Worldwide,UTA,
Just A Tip With Megan Batoon,,,Worldwide,WME,
Just Blaze,182,"$3,498","South America, North America",Paradigm - NYC,
Just John x Dom Dias,,,North America,APA,
Just Kiddin,,,North America,United Talent Agency - Beverly Hills,
Just Kiddin,,,North America,UTA,
Just Mustard,510,"$7,051",North America,Paradigm - NYC,
Justice,,,"South America, North America",WME,
Justice Carradine,,,North America,United Talent Agency - Beverly Hills,
Justice Carradine,,,North America,UTA,
Justice For The Damned,,,North America,33 & West,
Justin Adams,"1,022","$57,777",North America,WME,
Justin Adams & Mauro Durante,,,"North America, Australia, Asia, Central America, South America",Riot Artists,
Justin Bieber,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Justin Caruso,"1,620","$51,547",,Creative Artists Agency (Music),Nashville
Justin Caruso,"1,620","$51,547",Worldwide,Creative Artists Agency (Music),Los Angeles
Justin Champagne,,,North America,ICM Partners,
Justin Constantine,,,Worldwide,Gersh,
Justin Courtney Pierre,188,"$4,351",Worldwide,WME,
Justin Hayward,431,"$27,163",Worldwide ex. UK/Europe,Creative Artists Agency (Music),Los Angeles
Justin Hires,,,Worldwide,APA,
Justin Hurwitz,,,Worldwide,WME,
Justin Jesso,230,"$3,671",Worldwide,WME,
Justin Kauflin,74,"$1,719",North America,United Talent Agency - Beverly Hills,
Justin Kauflin,74,"$1,719",North America,UTA,
Justin Martin,545,"$13,294","South America, Australia, Asia, North America",Liaison Artists,
Justin Moore,"3,409","$134,598","Asia, Australia",WME,
Justin Moore,"3,409","$134,598",North America,WME,
Justin Nozuka,196,"$4,029",United States,United Talent Agency - Beverly Hills,
Justin Nozuka,196,"$4,029",United States,UTA,
Justin Park,,,North America,United Talent Agency - Beverly Hills,
Justin Park,,,North America,United Talent Agency - Beverly Hills,
Justin Park,,,North America,UTA,
Justin Park,,,North America,UTA,
Justin Peter Kinkel-Schuster,7,$78,North America,"The Progressive Global Agency, Inc",
Justin Rarri,,,Worldwide,ICM Partners,
Justin Robinson And The Mary Annettes,,,Worldwide,Concerted Efforts,
Justin Timberlake,"18,764","$2,409,720","Australia, Asia",WME,
Justin Timberlake,"18,764","$2,409,720",Europe,WME,
Justin Timberlake,"18,764","$2,409,720",Worldwide,WME,
Justin Willman,777,"$25,133",Worldwide,UTA - Comedy,
Justine Skye,300,"$5,321",North America,ICM Partners,
Juston McKinney,,,North America,Gersh,
Juto,,,North America,United Talent Agency - Beverly Hills,
Juto,,,North America,UTA,
Juvenile,"2,104","$130,341",non-exclusive,Pyramid Entertainment Group,
Juvenile,"2,104","$130,341",non-exclusive,Universal Attractions Agency,
Juvenile & Mystikal,,,non-exclusive,Universal Attractions Agency,
Juxton Roy,,,United States,Dynamic Talent International,
JVNA,,,Worldwide,APA,
JVNA,,,Worldwide,APA,
JVST SAY YES,,,,Corson Agency,
JW Francis,,,,TBA Agency,
jxdn,,,North America,Paradigm - NYC,
Jyemo Club,,,United States,SEG - Sweetwine Ent'ment Group,
JZAC,95,"$1,425",United States,Dynamic Talent International,
K Camp,355,"$9,297",North America,ICM Partners,
K-Ci & Jojo,,,non-exclusive,Pyramid Entertainment Group,
K-Ci & Jojo,,,non-exclusive,Universal Attractions Agency,
K-Ci & Jojo,,,non-exclusive,Red Entertainment Agency,
K-Ci Hailey,,,Worldwide,ICM Partners,
K?D,265,"$7,023",North America,Paradigm - Beverly Hills,
k.d. lang,"1,775","$112,256",North America,Paradigm - Monterey,
K.Flay,841,"$19,290",Worldwide ex. North America,Sound Talent Group,
K.Flay,906,"$20,144","Asia, Caribbean, South America, North America, Mexico",Paradigm - Beverly Hills,
K'naan,,,"Asia, Australia",WME,
K'naan,,,Worldwide,WME,
Kaash Paige,,,Worldwide,United Talent Agency - Beverly Hills,
Kaash Paige,,,Worldwide,UTA,
Kacey Musgraves,"4,114","$219,829",Worldwide ex. UK/Europe,Paradigm - Nashville,
Kacy & Clayton,50,$750,United States,High Road Touring,
Kacy Hill,,,Worldwide,United Talent Agency - Beverly Hills,
Kacy Hill,,,Worldwide,UTA,
Kadavar,678,"$17,724",North America,Artist Group International,
Kadeema,,,Canada,APA,
Kadiata,,,Worldwide ex. North America,Creative Artists Agency (Music),Los Angeles
Kadooh,,,Canada,APA,
Kaelan Mikla,,,,HEAVY TALENT,
Kah-Lo,,,North America,Paradigm - Beverly Hills,
Kahn,,,South America,Surefire Agency,
Kahn + Neek,,,North America,Surefire Agency,
Kai,,,"Asia, Australia",WME,
Kai,,,Europe,WME,
Kai,,,North America,WME,
Kai Wachi,653,"$12,788",Worldwide,United Talent Agency - Beverly Hills,
Kai Wachi,653,"$12,788",Worldwide,UTA,
KAINA,,,,Outer/Most,
Kaiser Chiefs,"3,522","$170,198",North America,High Road Touring,
Kaiser Chiefs,"3,785","$183,710","Asia, Australia",WME,
Kaiser Chiefs,"3,785","$183,710",Europe,WME,
KAITLYN AURELIA SMITH,,,,Outer/Most,
Kaivon,,,Worldwide,United Talent Agency - Beverly Hills,
Kaivon,,,Worldwide,UTA,
Kakkmaddafakka ,,,,TBA Agency,
Kaleb Lee,,,North America,APA,
Kaleb Lee,,,Worldwide,APA,
Kaleido,,,United States,Dynamic Talent International,
Kaleo,"2,432","$95,840","Australia, Asia",WME,
Kaleo,"2,432","$95,840",Worldwide,WME,
Kali Nikole,,,Worldwide,ICM Partners,
Kali Uchis,"2,250","$89,625",Asia,WME,
Kali Uchis,"2,250","$89,625",Worldwide ex. UK/Europe,WME,
Kalie Shorr,90,"$1,485",Worldwide,Creative Artists Agency (Music),Los Angeles
Kalpee,,,Worldwide,UTA,
Kamasi Washington,995,"$32,244",Worldwide,ICM Partners,
Kamelot,726,"$28,657",North America,First Row Talent,
Kameron Marlowe,,,Worldwide,WME,
Kamille,,,North America,Paradigm - NYC,
Kanan Gill,,,North America,UTA - Comedy,
Kandace Springs,186,"$7,386",Worldwide,International Music Network,
Kane Brown,"6,417","$261,987",North America,WME,
Kane Strang,,,North America,Ground Control Touring,
Kaneholler,,,North America,WME,
Kanga,,,,HEAVY TALENT,
Kansas,"1,418","$94,886",Worldwide,APA,
Kanye West,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Kap G,,,Worldwide,APA,
Kap Slap,,,"Australia, Asia",WME,
Kap Slap,,,Worldwide,WME,
Kara Marni,,,Worldwide ex. North America,WME,
Kara Swisher,,,Worldwide,United Talent Agency - Beverly Hills,
Kara Swisher,,,Worldwide,UTA,
Karen Elson,,,"Asia, Australia",WME,
Karen Elson,,,Worldwide,WME,
Karen O,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Karima Francis,,,North America,Concerted Efforts,
Karina Garcia,,,North America,United Talent Agency - Beverly Hills,
Karina Garcia,,,North America,UTA,
Karina Rykman,210,"$3,150",Worldwide,Mint Talent Group,
Karina Rykman,,,Worldwide,Mint Talent Group,
KARL BLAU,,,,Duck Club Touring,
Karl Denson's Tiny Universe,491,"$22,423","Australia, Asia, United States, Mexico, Canada, Europe, Africa, South America, New Zealand, Middle East",Arrival Artists,
Karla Bonoff,268,"$9,397",Worldwide,SRO Artists,
Karma To Burn,,,,HEAVY TALENT,
Karnivool,,,United States,TKO,
Karriem Riggins,,,Worldwide ex. North America,UTA,
Karsh Kale,,,"North America, South America",Riot Artists,
Kartell,,,"North America, South America",United Talent Agency - Beverly Hills,
Kartell,,,"North America, South America",UTA,
Karyn White,,,non-exclusive,Universal Attractions Agency,
Káryyn,,,North America,Paradigm - Beverly Hills,
Kas:st,,,"North America, South America, Central America",Surefire Agency,
Kasabian,"7,784","$470,172",North America,WME,
Kasador,25,$336,Worldwide,APA,
Kasai,,,North America,Paradigm - Beverly Hills,
